,taxi_no,date,time,lon,lat,hour
251,B00F27,9/11/2009,0:21:35,114.04916,22.52568,0
252,B00F27,9/11/2009,0:22:25,114.04465,22.52572,0
253,B00F27,9/11/2009,0:23:15,114.04417,22.52548,0
254,B00F27,9/11/2009,0:24:05,114.0401,22.52217,0
255,B00F27,9/11/2009,0:24:55,114.03709,22.5234,0
256,B00G11,9/11/2009,0:24:35,113.83075,22.65009,0
257,B00G11,9/11/2009,0:25:16,113.83508,22.64467,0
258,B00G11,9/11/2009,0:26:36,113.85228,22.62742,0
259,B00G11,9/11/2009,0:25:56,113.84281,22.63508,0
260,B00G11,9/11/2009,0:27:16,113.86336,22.62313,0
261,B00G11,9/11/2009,0:27:56,113.8737,22.61815,0
262,B00G11,9/11/2009,0:28:37,113.8818,22.6083,0
263,B00G11,9/11/2009,0:31:58,113.92186,22.56877,0
264,B00G11,9/11/2009,0:32:38,113.9259,22.56587,0
265,B00G11,9/11/2009,0:33:18,113.92664,22.56519,0
266,B00G11,9/11/2009,0:33:58,113.92905,22.55918,0
267,B00G11,9/11/2009,0:35:19,113.9271,22.53718,0
268,B00G11,9/11/2009,0:35:59,113.92419,22.52786,0
269,B00G11,9/11/2009,0:34:39,113.92787,22.54738,0
270,B00G11,9/11/2009,0:37:19,113.91496,22.52729,0
271,B00G11,9/11/2009,0:36:39,113.9186,22.52726,0
272,B00G18,9/11/2009,0:05:49,114.09911,22.57256,0
273,B00G18,9/11/2009,0:06:29,114.09964,22.57935,0
274,B00G18,9/11/2009,0:08:03,114.09829,22.59202,0
275,B00G18,9/11/2009,0:07:09,114.09792,22.58656,0
276,B00G18,9/11/2009,0:08:30,114.09798,22.60266,0
277,B00G18,9/11/2009,0:09:50,114.10113,22.60015,0
278,B00G22,9/11/2009,0:05:40,113.93035,22.52823,0
279,B00G22,9/11/2009,0:06:20,113.92789,22.52175,0
280,B00G22,9/11/2009,0:07:00,113.92754,22.51576,0
281,B00G22,9/11/2009,0:07:40,113.92468,22.51555,0
282,B00G22,9/11/2009,0:08:20,113.92384,22.51465,0
283,B00G22,9/11/2009,0:09:01,113.92386,22.51453,0
284,B00G22,9/11/2009,0:09:41,113.92386,22.51456,0
285,B00G22,9/11/2009,0:10:21,113.92388,22.51462,0
286,B00G22,9/11/2009,0:11:01,113.92387,22.51464,0
287,B00G22,9/11/2009,0:11:41,113.92389,22.51458,0
288,B00G22,9/11/2009,0:12:22,113.92387,22.5146,0
289,B00G22,9/11/2009,0:28:26,113.94903,22.54334,0
290,B00G22,9/11/2009,0:29:06,113.95512,22.54322,0
291,B00G22,9/11/2009,0:29:46,113.95927,22.54318,0
