,taxi_no,date,time,lon,lat,speed,occupy,unknown,hour
1,B32C07,9/8/2009,0:01:09,114.1376,22.5459,0,0,0,0
2,B32C07,9/8/2009,0:02:07,114.1376,22.5459,0,0,0,0
3,B32C07,9/8/2009,0:04:03,114.1376,22.5459,0,0,0,0
4,B32C07,9/8/2009,0:04:31,114.1376,22.5459,0,0,0,0
5,B32C07,9/8/2009,0:05:29,114.1376,22.5459,0,0,0,0
6,B32C07,9/8/2009,0:06:27,114.1376,22.5459,0,0,0,0
7,B32C07,9/8/2009,0:07:25,114.1376,22.5459,0,0,0,0
8,B32C07,9/8/2009,0:08:52,114.1376,22.5459,0,0,0,0
9,B32C07,9/8/2009,0:09:21,114.1376,22.5459,0,0,0,0
10,B32C07,9/8/2009,0:09:50,114.1376,22.5459,0,0,0,0
11,B32C07,9/8/2009,0:09:50,114.1376,22.5459,0,0,0,0
12,B32C07,9/8/2009,0:09:50,114.1376,22.5459,0,0,0,0
13,B32C07,9/8/2009,0:09:50,114.1376,22.5459,0,0,0,0
14,B32C07,9/8/2009,0:11:16,114.1376,22.5459,0,0,0,0
15,B32C07,9/8/2009,0:11:45,114.1376,22.5459,0,0,0,0
16,B32C07,9/8/2009,0:13:12,114.1376,22.5459,0,0,0,0
17,B32C07,9/8/2009,0:13:41,114.1376,22.5459,0,0,0,0
18,B32C07,9/8/2009,0:13:41,114.1376,22.5459,0,0,0,0
19,B32C07,9/8/2009,0:14:10,114.1376,22.5459,0,0,0,0
20,B32C07,9/8/2009,0:15:08,114.1376,22.5459,0,0,0,0
21,B32C07,9/8/2009,0:15:36,114.1376,22.5459,0,0,0,0
22,B32C07,9/8/2009,0:16:34,114.1374,22.546,0,0,0,0
23,B32C07,9/8/2009,0:17:03,114.1374,22.5459,0,0,0,0
24,B32C07,9/8/2009,0:18:30,114.1374,22.5459,0,0,0,0
25,B32C07,9/8/2009,0:18:30,114.1374,22.5459,0,0,0,0
26,B32C07,9/8/2009,0:18:59,114.1374,22.5459,0,0,0,0
27,B32C07,9/8/2009,0:19:28,114.1374,22.5459,0,0,0,0
28,B32C07,9/8/2009,0:19:57,114.1374,22.5459,0,0,0,0
29,B32C07,9/8/2009,0:20:26,114.1374,22.5459,0,0,0,0
30,B32C07,9/8/2009,0:22:21,114.1374,22.5459,0,0,0,0
31,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
32,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
33,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
34,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
35,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
36,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
37,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
38,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
39,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
40,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
41,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
42,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
43,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
44,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
45,B32C07,9/8/2009,0:22:50,114.1374,22.5459,0,0,0,0
46,B32C07,9/8/2009,0:23:19,114.1374,22.5459,0,0,0,0
47,B32C07,9/8/2009,0:23:19,114.1374,22.5459,0,0,0,0
48,B32C07,9/8/2009,0:23:19,114.1374,22.5459,0,0,0,0
49,B32C07,9/8/2009,0:24:17,114.1374,22.5459,0,0,0,0
50,B32C07,9/8/2009,0:24:17,114.1374,22.5459,0,0,0,0
51,B32C07,9/8/2009,0:24:46,114.1374,22.5459,0,0,0,0
52,B32C07,9/8/2009,0:25:15,114.1374,22.5459,0,0,0,0
53,B32C07,9/8/2009,0:25:43,114.1374,22.5459,0,0,0,0
54,B32C07,9/8/2009,0:26:41,114.1374,22.5459,0,0,0,0
55,B32C07,9/8/2009,0:27:39,114.1374,22.5459,0,0,0,0
56,B32C07,9/8/2009,0:28:08,114.1374,22.5459,0,0,0,0
57,B32C07,9/8/2009,0:28:37,114.1374,22.5459,0,0,0,0
58,B32C07,9/8/2009,0:29:06,114.1374,22.5459,0,0,0,0
59,B32C07,9/8/2009,0:29:34,114.1374,22.5459,0,0,0,0
60,B32C07,9/8/2009,0:30:04,114.1375,22.5459,0,0,0,0
61,B32C07,9/8/2009,0:30:33,114.1375,22.5459,0,0,0,0
62,B32C07,9/8/2009,0:31:02,114.1375,22.5459,0,0,0,0
63,B32C07,9/8/2009,0:31:31,114.1374,22.5459,0,0,0,0
64,B32C07,9/8/2009,0:32:28,114.1375,22.5459,0,0,0,0
