"","taxi_no","avg_fare_per_trip","total_fare"
"1","B45Z41",12.8,115.2
"2","B494A7",12.904,129.04
"3","B823E5",2.58,30.96
"4","B44W80",2.64,7.92
"5","B67U17",2.56615384615385,33.36
"6","BBQ042",13.12,26.24
"7","BBU947",2.8,25.2
"8","B698D7",2.73230769230769,35.52
"9","B34E17",2.72,24.48
"10","B06G82",2.76,16.56
"11","B74G07",2.66181818181818,29.28
"12","B803E1",2.76,33.12
"13","B21S13",2.70857142857143,37.92
"14","B13W47",12.8430769230769,166.96
"15","BLS808",2.76,16.56
"16","BHE362",2.88,34.56
"17","B180F3",2.85818181818182,31.44
"18","BBQ107",12.7272727272727,140
"19","B12K73",3.12,9.36
"20","BBY622",3.12,12.48
"21","B19R58",2.784,41.76
"22","B04F66",2.78117647058824,47.28
"23","B08N47",2.904,29.04
"24","BGD397",2.78769230769231,36.24
"25","BKZ441",2.78769230769231,36.24
"26","B518A3",2.67,21.36
"27","B18F97",2.904,29.04
"28","B916D0",12.544,125.44
"29","BTV857",2.76,22.08
"30","BBS248",2.67692307692308,34.8
"31","B698D3",2.65714285714286,37.2
"32","BBT241",2.76,11.04
"33","BJC579",2.67,21.36
"34","B55L42",2.976,14.88
"35","BGC777",2.78769230769231,36.24
"36","BFJ076",12.784,191.76
"37","BBQ905",2.76,22.08
"38","B06F09",2.76,33.12
"39","BGA142",2.66181818181818,29.28
"40","BLS823",2.7,32.4
"41","B19G67",2.81142857142857,19.68
"42","BGD870",2.76,22.08
"43","B25A47",2.58,20.64
"44","B04F45",2.59636363636364,28.56
"45","B07P23",2.8,25.2
"46","B25V85",12.7085714285714,88.96
"47","B19G57",2.70857142857143,18.96
"48","B44W85",2.60571428571429,36.48
"49","B70A22",2.52,15.12
"50","B04G59",2.8,25.2
"51","BH228X",12.76,51.04
"52","B40P27",12.5028571428571,87.52
"53","BXY102",12.904,129.04
"54","B22F40",2.88,25.92
"55","B76A90",2.59636363636364,28.56
"56","B136A7",3.12,3.12
"57","BQG551",2.904,29.04
"58","B838A9",12.688,63.44
"59","BFH817",12.56,113.04
"60","B76F37",2.688,26.88
"61","B79W65",2.70857142857143,18.96
"62","B54X81",2.56,23.04
"63","B06P96",2.70857142857143,18.96
"64","B49X95",2.64,15.84
"65","B45E31",12.88,115.92
"66","B62U71",2.88,25.92
"67","B06P46",2.56,23.04
"68","B70A70",2.73230769230769,35.52
"69","B93P21",2.76,22.08
"70","B99P15",2.88,25.92
"71","B507A6",2.91428571428571,20.4
"72","B04R05",2.832,28.32
"73","B28X37",2.70857142857143,18.96
"74","B28F08",2.88,8.64
"75","B02T09",2.7,32.4
"76","B49F77",2.72,24.48
"77","B845D1",12.832,128.32
"78","BFJ010",12.76,153.12
"79","B41V81",2.64,15.84
"80","B59E56",12.8114285714286,89.68
"81","B56W92",2.84307692307692,36.96
"82","BFZ411",3.12,9.36
"83","B76F05",2.7,32.4
"84","BWG725",2.94,23.52
"85","BGA305",2.72727272727273,30
"86","B61U73",2.7,32.4
"87","BGG665",2.67692307692308,34.8
"88","BLS791",2.72,24.48
"89","B84E45",2.70857142857143,37.92
"90","B53A42",12.58,50.32
"91","B24G27",2.81142857142857,19.68
"92","BQH967",2.76,27.6
"93","B835E7",2.88,34.56
"94","BFJ040",12.58,100.64
"95","B40P00",12.67,101.36
"96","B52X28",2.88,17.28
"97","B19T62",2.88,34.56
"98","B72E67",2.688,26.88
"99","BFZ409",2.736,41.04
"100","B11G39",2.72,24.48
"101","BTV248",2.70857142857143,18.96
"102","BGA026",2.76,27.6
"103","BWF589",2.67,21.36
"104","B502A6",2.832,28.32
"105","B43F11",2.52,30.24
"106","B16W07",2.55428571428571,35.76
"107","B64E43",2.91428571428571,40.8
"108","B53K33",2.85,22.8
"109","B87W90",2.79272727272727,30.72
"110","B49V02",2.82,33.84
"111","B79X89",2.64,15.84
"112","BBQ019",12.688,63.44
"113","BHF619",2.688,26.88
"114","BBV377",2.81142857142857,19.68
"115","B29W97",2.58,10.32
"116","B99F63",2.79272727272727,30.72
"117","B32W91",2.46,29.52
"118","B40F30",2.88,8.64
"119","B47X65",2.64,15.84
"120","B87W21",2.58,30.96
"121","B49P09",12.85,102.8
"122","B53A30",12.625,202
"123","BYV458",2.69583333333333,32.35
"124","B51A76",12.7085714285714,177.92
"125","B30W92",2.64,23.76
"126","B89E00",2.73230769230769,35.52
"127","B06P19",2.76,22.08
"128","BKX370",2.79272727272727,30.72
"129","BFZ698",2.64,15.84
"130","B04F58",2.56,23.04
"131","B46E86",12.6057142857143,88.24
"132","B724C3",12.82,153.84
"133","B29R86",12.76,76.56
"134","BHA368",2.67,21.36
"135","BFE263",2.688,26.88
"136","B46A75",12.85,102.8
"137","B04R60",2.88,8.64
"138","B90W33",2.60571428571429,18.24
"139","B609A0",2.72,24.48
"140","BTV790",2.76,16.56
"141","BBY538",2.76,11.04
"142","B45W97",2.58,20.64
"143","BFJ943",12.6618181818182,139.28
"144","BBQ151",13.12,39.36
"145","B53A17",12.6571428571429,177.2
"146","BLS712",2.67692307692308,34.8
"147","B32K67",2.72727272727273,30
"148","B51W17",12.67,101.36
"149","B15K71",2.805,44.88
"150","B497E6",2.832,14.16
"151","B81E58",2.616,26.16
"152","BBQ801",2.91428571428571,20.4
"153","B03P40",2.76,16.56
"154","BQG627",2.60571428571429,36.48
"155","B23W02",2.59636363636364,28.56
"156","B60Z79",2.76,27.6
"157","B19N56",2.64,15.84
"158","BGS453",2.76,38.64
"159","B26V31",12.9142857142857,90.4
"160","BYU640",2.79444444444444,25.15
"161","BJD475",2.94,47.04
"162","BWG090",2.688,26.88
"163","B18F00",2.78769230769231,36.24
"164","BKZ523",2.976,14.88
"165","B04G96",2.832,28.32
"166","B28K08",2.64,23.76
