"","or_lon","or_lat","dest_lon","dest_lat"
"1",114.04916,22.52568,114.03709,22.5234
"2",113.83075,22.65009,113.9186,22.52726
"3",114.09911,22.57256,114.10113,22.60015
"4",113.93035,22.52823,113.92387,22.5146
"5",113.94903,22.54334,113.99317,22.53121
"6",113.96256,22.53368,113.90742,22.54417
"7",113.88924,22.48252,113.88133,22.48437
"8",113.9228,22.53676,113.91001,22.54016
"9",113.91393,22.53122,113.89452,22.57683
"10",114.12592,22.57745,114.10152,22.57192
"11",114.12241,22.57924,114.04572,22.64124
"12",114.05907,22.63692,114.05404,22.56993
"13",114.1019,22.54377,114.12677,22.54972
"14",114.05401,22.60801,114.05401,22.60801
"15",114.05401,22.60801,114.05401,22.60801
"16",114.08406,22.54983,114.08504,22.55434
"17",114.08416,22.54921,114.08836,22.56458
"18",114.11201,22.53795,114.12873,22.54341
"19",114.11137,22.55866,114.11147,22.56027
"20",114.09457,22.56525,114.13508,22.56578
"21",114.10199,22.62491,114.10785,22.61116
"22",114.05418,22.56743,114.10202,22.57263
"23",114.05111,22.55121,114.04922,22.56152
"24",114.01225,22.54302,114.03762,22.56351
"25",114.0108,22.55538,114.11964,22.58042
"26",114.08407,22.54329,114.03268,22.54117
"27",114.11351,22.54618,114.09635,22.56923
"28",114.1125,22.5462,114.09995,22.54221
"29",114.1149,22.54667,114.12273,22.54962
"30",114.09145,22.54338,113.96468,22.5517
"31",113.94502,22.54201,113.95403,22.54727
"32",113.90371,22.56222,113.91254,22.51997
"33",114.05122,22.53598,114.05222,22.53824
"34",114.11651,22.54856,114.11651,22.54766
"35",114.11358,22.54441,114.07858,22.54856
"36",114.04787,22.54173,114.06933,22.54785
"37",113.92493,22.54411,113.92732,22.50716
"38",114.08391,22.54732,114.06863,22.57125
"39",114.05988,22.52599,114.12208,22.5519
"40",114.11423,22.539,114.12434,22.54183
"41",113.99443,22.53506,113.99443,22.53506
"42",113.99443,22.53506,113.99443,22.53506
"43",113.99443,22.53506,113.99443,22.53506
"44",113.99443,22.53506,113.99443,22.53506
"45",113.99443,22.53506,113.99443,22.53506
"46",113.99443,22.53506,113.99443,22.53506
"47",114.13116,22.55071,114.11812,22.54122
"48",114.10897,22.54722,114.10919,22.54728
