taxi_no,date,time,lon,lat,
B001B2,9/11/2009,0:22:15,114.03819,22.55755,0
B001B2,9/11/2009,0:23:10,114.03502,22.5568,0
B001B2,9/11/2009,0:25:00,114.03448,22.54788,0
B001B2,9/11/2009,0:25:55,114.03557,22.54192,0
B001B2,9/11/2009,0:25:55,114.03557,22.54192,0
B001B2,9/11/2009,0:26:50,114.02858,22.5404,0
B001B2,9/11/2009,0:27:45,114.01572,22.5382,0
B001B2,9/11/2009,0:28:40,114.00729,22.53702,0
B001B2,9/11/2009,0:29:35,114.00788,22.53815,0
B001B2,9/11/2009,0:30:30,114.00705,22.5381,0
B001B2,9/11/2009,0:33:15,114.0081,22.53668,0
B001B2,9/11/2009,0:34:10,114.0192,22.53855,0
B001B2,9/11/2009,0:35:05,114.031,22.54062,0
B001B2,9/11/2009,0:36:00,114.03551,22.54143,0
B001B2,9/11/2009,0:36:55,114.0352,22.54448,0
B001B2,9/11/2009,0:37:50,114.03457,22.54793,0
B001B2,9/11/2009,0:39:40,114.0349,22.55483,0
B001B2,9/11/2009,0:39:40,114.0349,22.55483,0
B001B2,9/11/2009,0:40:35,114.03425,22.55608,0
B001B2,9/11/2009,0:41:30,114.03743,22.55732,0
B001B2,9/11/2009,0:42:26,114.03805,22.55733,0
B001B2,9/11/2009,1:02:16,114.03896,22.5242,1
B001B2,9/11/2009,1:06:05,114.03896,22.5242,1
B001B2,9/11/2009,1:07:00,114.03852,22.52857,1
B001B2,9/11/2009,1:07:55,114.04337,22.53107,1
B001B2,9/11/2009,1:07:55,114.04337,22.53107,1
B001B2,9/11/2009,1:08:50,114.0528,22.53127,1
B001B2,9/11/2009,1:10:40,114.06944,22.53095,1
B001B2,9/11/2009,1:11:35,114.06858,22.53848,1
B001B2,9/11/2009,1:12:30,114.07227,22.53587,1
B001B6,9/11/2009,0:15:22,114.06737,22.51925,0
B001B6,9/11/2009,0:26:55,114.06613,22.519,0
B001B6,9/11/2009,0:27:50,114.06361,22.51902,0
B001B6,9/11/2009,0:28:45,114.06247,22.52252,0
B001B6,9/11/2009,0:29:40,114.0632,22.52553,0
B001B6,9/11/2009,0:30:35,114.06325,22.53123,0
B001B6,9/11/2009,0:31:30,114.06911,22.53168,0
B001B6,9/11/2009,0:32:25,114.07868,22.53415,0
B001B6,9/11/2009,0:33:20,114.08823,22.53745,0
B001B6,9/11/2009,0:33:20,114.08823,22.53745,0
B001B6,9/11/2009,0:35:10,114.109,22.53748,0
B001B6,9/11/2009,0:37:00,114.11861,22.53995,0
B001B6,9/11/2009,0:41:40,114.11263,22.53597,0
B001B6,9/11/2009,0:47:05,114.11263,22.53597,0
B001B7,9/11/2009,0:03:22,114.03381,22.52237,0
B001B7,9/11/2009,0:03:31,114.03381,22.52237,0
B001B7,9/11/2009,0:04:27,114.03715,22.52388,0
B001B7,9/11/2009,0:05:22,114.0386,22.52708,0
B001B7,9/11/2009,0:06:17,114.03909,22.5305,0
B001B7,9/11/2009,0:07:12,114.04716,22.53118,0
B001B7,9/11/2009,0:08:07,114.05373,22.53125,0
B001B7,9/11/2009,0:09:02,114.0588,22.52908,0
B001B7,9/11/2009,0:20:58,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:27:45,114.03371,22.5223,0
B001B7,9/11/2009,0:28:30,114.03371,22.5223,0
B001B7,9/11/2009,0:29:14,114.03371,22.5223,0
B001B7,9/11/2009,0:29:30,114.03371,22.5223,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:30:25,114.03632,22.5231,0
B001B7,9/11/2009,0:31:20,114.0388,22.52507,0
B001B7,9/11/2009,0:32:15,114.03792,22.5298,0
B001B7,9/11/2009,0:33:10,114.0455,22.5311,0
B001B7,9/11/2009,0:34:05,114.05728,22.5315,0
B001B7,9/11/2009,0:35:00,114.06797,22.53165,0
B001B7,9/11/2009,0:35:55,114.07748,22.53222,0
B001B7,9/11/2009,0:35:55,114.07748,22.53222,0
B001B7,9/11/2009,0:36:50,114.08437,22.5374,0
B001B7,9/11/2009,0:37:45,114.09444,22.53807,0
B001B7,9/11/2009,0:38:40,114.10377,22.53783,0
B001B7,9/11/2009,0:40:30,114.11025,22.5418,0
B001B7,9/11/2009,0:41:25,114.11047,22.54658,0
B001B7,9/11/2009,0:42:20,114.10975,22.55377,0
B001B7,9/11/2009,0:43:15,114.11391,22.55865,0
B001B7,9/11/2009,0:48:20,114.11552,22.5571,0
B001B7,9/11/2009,1:26:54,114.03394,22.52247,1
B001B7,9/11/2009,1:27:49,114.03717,22.52358,1
B001B7,9/11/2009,1:28:44,114.04148,22.52127,1
B001B7,9/11/2009,1:29:39,114.04148,22.52127,1
B001B7,9/11/2009,1:30:34,114.04797,22.51847,1
B001B7,9/11/2009,1:31:29,114.05345,22.51823,1
B001B7,9/11/2009,1:33:19,114.0591,22.52168,1
B001B7,9/11/2009,1:34:14,114.05848,22.52492,1
B001B7,9/11/2009,2:00:45,114.03378,22.52243,2
B001B7,9/11/2009,2:00:45,114.03378,22.52243,2
B001B7,9/11/2009,2:37:59,114.03378,22.52243,2
B001B7,9/11/2009,2:38:54,114.03713,22.52332,2
B001B7,9/11/2009,2:39:49,114.04198,22.52125,2
B001B7,9/11/2009,2:40:44,114.04504,22.52865,2
B001B7,9/11/2009,2:42:34,114.06348,22.5316,2
B002B1,9/11/2009,0:08:02,114.08385,22.57195,0
B002B1,9/11/2009,0:17:44,114.06763,22.55838,0
B002B1,9/11/2009,0:58:40,114.0879,22.5615,0
B002B1,9/11/2009,1:10:28,114.09161,22.56048,1
B002B1,9/11/2009,1:11:23,114.09395,22.5586,1
B002B1,9/11/2009,1:12:18,114.09125,22.55842,1
B002B1,9/11/2009,1:13:13,114.09093,22.5543,1
B003B6,9/11/2009,0:04:14,113.90668,22.55365,0
B003B6,9/11/2009,0:05:09,113.90926,22.5504,0
B003B6,9/11/2009,0:07:54,113.94062,22.55523,0
B003B6,9/11/2009,0:08:49,113.95168,22.55622,0
B003B6,9/11/2009,0:10:39,113.97375,22.55645,0
B003B6,9/11/2009,0:11:34,113.9841,22.55843,0
B003B6,9/11/2009,0:12:29,113.99395,22.55677,0
B003B6,9/11/2009,0:13:24,114.0052,22.5564,0
B003B6,9/11/2009,0:14:19,114.01637,22.56007,0
B003B6,9/11/2009,0:15:14,114.0282,22.56138,0
B003B6,9/11/2009,0:16:09,114.0386,22.56317,0
B003B6,9/11/2009,0:17:04,114.04887,22.56502,0
B003B6,9/11/2009,0:18:54,114.06918,22.5692,0
B003B6,9/11/2009,0:19:49,114.07922,22.57258,0
B003B6,9/11/2009,0:20:44,114.08701,22.56677,0
B003B6,9/11/2009,0:22:34,114.10683,22.57463,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:23:29,114.11487,22.57642,0
B003B6,9/11/2009,0:24:24,114.1176,22.57542,0
B003B6,9/11/2009,0:25:19,114.11478,22.58135,0
B003B6,9/11/2009,0:26:14,114.11215,22.58627,0
B003B6,9/11/2009,0:26:14,114.11215,22.58627,0
B003B6,9/11/2009,0:27:09,114.10952,22.59083,0
B003B6,9/11/2009,0:28:04,114.11075,22.59512,0
B003B6,9/11/2009,0:28:59,114.11058,22.5935,0
B003B6,9/11/2009,0:29:54,114.11173,22.59282,0
B003B6,9/11/2009,0:30:49,114.1119,22.59268,0
B003B6,9/11/2009,0:31:44,114.11053,22.59433,0
B003B6,9/11/2009,0:32:38,114.11117,22.59588,0
B003B6,9/11/2009,0:34:28,114.11678,22.6008,0
B003B6,9/11/2009,0:36:18,114.11243,22.60132,0
B003B6,9/11/2009,0:37:13,114.1123,22.60118,0
B003B6,9/11/2009,0:38:08,114.11288,22.60005,0
B003B6,9/11/2009,0:39:03,114.11057,22.59505,0
B003B6,9/11/2009,0:39:58,114.10921,22.59033,0
B003B6,9/11/2009,0:40:53,114.11165,22.58628,0
B003B6,9/11/2009,0:41:48,114.11452,22.58132,0
B003B6,9/11/2009,0:42:43,114.1174,22.57533,0
B003B6,9/11/2009,0:43:38,114.11794,22.5671,0
B003B6,9/11/2009,0:44:33,114.1195,22.56035,0
B003B6,9/11/2009,0:45:28,114.12062,22.5566,0
B003B6,9/11/2009,0:46:23,114.11773,22.55227,0
B003B6,9/11/2009,0:48:13,114.11784,22.54395,0
B003B6,9/11/2009,0:49:08,114.11642,22.54307,0
B003B6,9/11/2009,0:50:03,114.11248,22.54227,0
B003B6,9/11/2009,1:17:19,114.09088,22.55812,1
B005B0,9/11/2009,0:02:37,114.07747,22.55057,0
B005B0,9/11/2009,0:06:20,114.08415,22.5623,0
B005B0,9/11/2009,0:07:15,114.08483,22.57042,0
B005B0,9/11/2009,0:09:05,114.06378,22.5687,0
B005B0,9/11/2009,0:10:00,114.0619,22.57087,0
B005B0,9/11/2009,0:10:00,114.0619,22.57087,0
B005B0,9/11/2009,0:10:55,114.06274,22.57253,0
B005B0,9/11/2009,0:21:46,114.0541,22.5699,0
B005B0,9/11/2009,0:27:18,114.0541,22.5699,0
B005B0,9/11/2009,0:59:35,114.0794,22.54963,0
