"","taxi_no","date","time","lon","lat","speed","occupy","unknown"
"1","B001B2","2009-09-11","00:22:15","114.03819","22.55755","0","1","31"
"2","B001B2","2009-09-11","00:23:10","114.03502","22.5568","23","1","31"
"3","B001B2","2009-09-11","00:25:00","114.03448","22.54788","36","1","31"
"4","B001B2","2009-09-11","00:25:55","114.03557","22.54192","43","1","31"
"5","B001B2","2009-09-11","00:25:55","114.03557","22.54192","43","1","31"
"6","B001B2","2009-09-11","00:26:50","114.02858","22.5404","48","1","31"
"7","B001B2","2009-09-11","00:27:45","114.01572","22.5382","87","1","31"
"8","B001B2","2009-09-11","00:28:40","114.00729","22.53702","57","1","31"
"9","B001B2","2009-09-11","00:29:35","114.00788","22.53815","26","1","31"
"10","B001B2","2009-09-11","00:30:30","114.00705","22.5381","5","1","31"
"11","B001B2","2009-09-11","00:33:15","114.0081","22.53668","34","1","31"
"12","B001B2","2009-09-11","00:34:10","114.0192","22.53855","73","1","31"
"13","B001B2","2009-09-11","00:35:05","114.031","22.54062","80","1","31"
"14","B001B2","2009-09-11","00:36:00","114.03551","22.54143","30","1","31"
"15","B001B2","2009-09-11","00:36:55","114.0352","22.54448","22","1","31"
"16","B001B2","2009-09-11","00:37:50","114.03457","22.54793","24","1","31"
"17","B001B2","2009-09-11","00:39:40","114.0349","22.55483","22","1","31"
"18","B001B2","2009-09-11","00:39:40","114.0349","22.55483","22","1","31"
"19","B001B2","2009-09-11","00:40:35","114.03425","22.55608","8","1","31"
"20","B001B2","2009-09-11","00:41:30","114.03743","22.55732","29","1","31"
"21","B001B2","2009-09-11","00:42:26","114.03805","22.55733","4","1","31"
"22","B001B2","2009-09-11","01:02:16","114.03896","22.5242","0","1","31"
"23","B001B2","2009-09-11","01:06:05","114.03896","22.5242","0","1","31"
"24","B001B2","2009-09-11","01:07:00","114.03852","22.52857","31","1","31"
"25","B001B2","2009-09-11","01:07:55","114.04337","22.53107","47","1","31"
"26","B001B2","2009-09-11","01:07:55","114.04337","22.53107","47","1","31"
"27","B001B2","2009-09-11","01:08:50","114.0528","22.53127","63","1","31"
"28","B001B2","2009-09-11","01:10:40","114.06944","22.53095","45","1","31"
"29","B001B2","2009-09-11","01:11:35","114.06858","22.53848","63","1","31"
"30","B001B2","2009-09-11","01:12:30","114.07227","22.53587","41","1","31"
"31","B001B6","2009-09-11","00:15:22","114.06737","22.51925","0","1","31"
"32","B001B6","2009-09-11","00:26:55","114.06613","22.519","0","1","31"
"33","B001B6","2009-09-11","00:27:50","114.06361","22.51902","14","1","31"
"34","B001B6","2009-09-11","00:28:45","114.06247","22.52252","32","1","31"
"35","B001B6","2009-09-11","00:29:40","114.0632","22.52553","22","1","31"
"36","B001B6","2009-09-11","00:30:35","114.06325","22.53123","39","1","31"
"37","B001B6","2009-09-11","00:31:30","114.06911","22.53168","38","1","31"
"38","B001B6","2009-09-11","00:32:25","114.07868","22.53415","72","1","31"
"39","B001B6","2009-09-11","00:33:20","114.08823","22.53745","75","1","31"
"40","B001B6","2009-09-11","00:33:20","114.08823","22.53745","75","1","31"
"41","B001B6","2009-09-11","00:35:10","114.109","22.53748","64","1","31"
"42","B001B6","2009-09-11","00:37:00","114.11861","22.53995","9","1","31"
"43","B001B6","2009-09-11","00:41:40","114.11263","22.53597","0","1","31"
"44","B001B6","2009-09-11","00:47:05","114.11263","22.53597","0","1","31"
"45","B001B7","2009-09-11","00:03:22","114.03381","22.52237","0","1","31"
"46","B001B7","2009-09-11","00:03:31","114.03381","22.52237","0","1","31"
"47","B001B7","2009-09-11","00:04:27","114.03715","22.52388","23","1","31"
"48","B001B7","2009-09-11","00:05:22","114.0386","22.52708","28","1","31"
"49","B001B7","2009-09-11","00:06:17","114.03909","22.5305","25","1","31"
"50","B001B7","2009-09-11","00:07:12","114.04716","22.53118","54","1","31"
"51","B001B7","2009-09-11","00:08:07","114.05373","22.53125","43","1","31"
"52","B001B7","2009-09-11","00:09:02","114.0588","22.52908","44","1","31"
"53","B001B7","2009-09-11","00:20:58","114.03371","22.5223","0","1","31"
"54","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"55","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"56","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"57","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"58","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"59","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"60","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"61","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"62","B001B7","2009-09-11","00:27:45","114.03371","22.5223","0","1","31"
"63","B001B7","2009-09-11","00:28:30","114.03371","22.5223","0","1","31"
"64","B001B7","2009-09-11","00:29:14","114.03371","22.5223","0","1","31"
"65","B001B7","2009-09-11","00:29:30","114.03371","22.5223","0","1","31"
"66","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"67","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"68","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"69","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"70","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"71","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"72","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"73","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"74","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"75","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"76","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"77","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"78","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"79","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"80","B001B7","2009-09-11","00:30:25","114.03632","22.5231","14","1","31"
"81","B001B7","2009-09-11","00:31:20","114.0388","22.52507","21","1","31"
"82","B001B7","2009-09-11","00:32:15","114.03792","22.5298","21","1","31"
"83","B001B7","2009-09-11","00:33:10","114.0455","22.5311","47","1","31"
"84","B001B7","2009-09-11","00:34:05","114.05728","22.5315","79","1","31"
"85","B001B7","2009-09-11","00:35:00","114.06797","22.53165","71","1","31"
"86","B001B7","2009-09-11","00:35:55","114.07748","22.53222","64","1","31"
"87","B001B7","2009-09-11","00:35:55","114.07748","22.53222","64","1","31"
"88","B001B7","2009-09-11","00:36:50","114.08437","22.5374","65","1","31"
"89","B001B7","2009-09-11","00:37:45","114.09444","22.53807","68","1","31"
"90","B001B7","2009-09-11","00:38:40","114.10377","22.53783","62","1","31"
"91","B001B7","2009-09-11","00:40:30","114.11025","22.5418","17","1","31"
"92","B001B7","2009-09-11","00:41:25","114.11047","22.54658","32","1","31"
"93","B001B7","2009-09-11","00:42:20","114.10975","22.55377","51","1","31"
"94","B001B7","2009-09-11","00:43:15","114.11391","22.55865","49","1","31"
"95","B001B7","2009-09-11","00:48:20","114.11552","22.5571","0","1","31"
"96","B001B7","2009-09-11","01:26:54","114.03394","22.52247","0","1","31"
"97","B001B7","2009-09-11","01:27:49","114.03717","22.52358","24","1","31"
"98","B001B7","2009-09-11","01:28:44","114.04148","22.52127","32","1","31"
"99","B001B7","2009-09-11","01:29:39","114.04148","22.52127","0","1","31"
"100","B001B7","2009-09-11","01:30:34","114.04797","22.51847","46","1","31"
"101","B001B7","2009-09-11","01:31:29","114.05345","22.51823","35","1","31"
"102","B001B7","2009-09-11","01:33:19","114.0591","22.52168","8","1","31"
"103","B001B7","2009-09-11","01:34:14","114.05848","22.52492","22","1","31"
"104","B001B7","2009-09-11","02:00:45","114.03378","22.52243","0","1","31"
"105","B001B7","2009-09-11","02:00:45","114.03378","22.52243","0","1","31"
"106","B001B7","2009-09-11","02:37:59","114.03378","22.52243","0","1","31"
"107","B001B7","2009-09-11","02:38:54","114.03713","22.52332","23","1","31"
"108","B001B7","2009-09-11","02:39:49","114.04198","22.52125","35","1","31"
"109","B001B7","2009-09-11","02:40:44","114.04504","22.52865","58","1","31"
"110","B001B7","2009-09-11","02:42:34","114.06348","22.5316","82","1","31"
"111","B002B1","2009-09-11","00:08:02","114.08385","22.57195","0","1","31"
"112","B002B1","2009-09-11","00:17:44","114.06763","22.55838","0","1","31"
"113","B002B1","2009-09-11","00:58:40","114.0879","22.5615","0","1","31"
"114","B002B1","2009-09-11","01:10:28","114.09161","22.56048","11","1","31"
"115","B002B1","2009-09-11","01:11:23","114.09395","22.5586","22","1","31"
"116","B002B1","2009-09-11","01:12:18","114.09125","22.55842","17","1","31"
"117","B002B1","2009-09-11","01:13:13","114.09093","22.5543","29","1","31"
"118","B003B6","2009-09-11","00:04:14","113.90668","22.55365","14","1","31"
"119","B003B6","2009-09-11","00:05:09","113.90926","22.5504","34","1","31"
"120","B003B6","2009-09-11","00:07:54","113.94062","22.55523","83","1","31"
"121","B003B6","2009-09-11","00:08:49","113.95168","22.55622","75","1","31"
"122","B003B6","2009-09-11","00:10:39","113.97375","22.55645","73","1","31"
"123","B003B6","2009-09-11","00:11:34","113.9841","22.55843","71","1","31"
"124","B003B6","2009-09-11","00:12:29","113.99395","22.55677","69","1","31"
"125","B003B6","2009-09-11","00:13:24","114.0052","22.5564","77","1","31"
"126","B003B6","2009-09-11","00:14:19","114.01637","22.56007","80","1","31"
"127","B003B6","2009-09-11","00:15:14","114.0282","22.56138","80","1","31"
"128","B003B6","2009-09-11","00:16:09","114.0386","22.56317","70","1","31"
"129","B003B6","2009-09-11","00:17:04","114.04887","22.56502","70","1","31"
"130","B003B6","2009-09-11","00:18:54","114.06918","22.5692","71","1","31"
"131","B003B6","2009-09-11","00:19:49","114.07922","22.57258","73","1","31"
"132","B003B6","2009-09-11","00:20:44","114.08701","22.56677","71","1","31"
"133","B003B6","2009-09-11","00:22:34","114.10683","22.57463","79","1","31"
"134","B003B6","2009-09-11","00:23:29","114.11487","22.57642","55","1","31"
"135","B003B6","2009-09-11","00:23:29","114.11487","22.57642","55","1","31"
"136","B003B6","2009-09-11","00:23:29","114.11487","22.57642","55","1","31"
"137","B003B6","2009-09-11","00:23:29","114.11487","22.57642","55","1","31"
