"","taxi_no","time","lon","lat","speed","occupy"
"1","B041C2","00:00:23","114.10764","22.57017","0","0"
"2","B041C2","00:00:43","114.10772","22.57015","0","0"
"3","B041C2","00:01:03","114.1078","22.57013","0","0"
"4","B041C2","00:01:43","114.10775","22.57013","0","0"
"5","B041C2","00:02:03","114.10775","22.57007","0","0"
"6","B041C2","00:02:23","114.1078","22.57003","0","0"
"7","B041C2","00:02:43","114.10768","22.57013","0","0"
"8","B041C2","00:03:03","114.10765","22.57013","0","0"
"9","B041C2","00:03:23","114.10777","22.57015","0","0"
"10","B041C2","00:03:43","114.1077","22.57013","0","0"
"11","B041C2","00:04:03","114.10773","22.57017","0","0"
"12","B041C2","00:04:23","114.10783","22.5701","0","0"
"13","B041C2","00:04:43","114.10783","22.57012","0","0"
"14","B041C2","00:05:04","114.10778","22.57008","0","0"
"15","B041C2","00:05:24","114.10775","22.57012","0","0"
"16","B041C2","00:05:44","114.1077","22.57012","0","0"
"17","B041C2","00:06:04","114.10775","22.57018","0","0"
"18","B041C2","00:06:24","114.10783","22.57022","0","0"
"19","B041C2","00:06:44","114.10782","22.57015","0","0"
"20","B041C2","00:07:04","114.10775","22.57015","0","0"
"21","B041C2","00:07:24","114.10765","22.57015","0","0"
"22","B041C2","00:07:44","114.10755","22.57017","0","0"
"23","B041C2","00:08:04","114.10762","22.57017","0","0"
"24","B041C2","00:08:24","114.10768","22.57017","0","0"
"25","B041C2","00:09:04","114.1078","22.5701","0","0"
"26","B041C2","00:09:24","114.10772","22.5701","0","0"
"27","B041C2","00:09:44","114.10765","22.57015","0","0"
"28","B041C2","00:10:04","114.10767","22.57015","0","0"
"29","B041C2","00:10:24","114.10762","22.57015","0","0"
"30","B041C2","00:10:44","114.10764","22.57013","0","0"
"31","B041C2","00:11:04","114.10765","22.5702","0","0"
"32","B041C2","00:11:24","114.1076","22.5702","0","0"
"33","B041C2","00:11:44","114.10765","22.57022","0","0"
"34","B041C2","00:12:04","114.10775","22.57018","0","0"
"35","B041C2","00:12:24","114.10773","22.5701","0","0"
"36","B041C2","00:12:38","114.10768","22.57022","3","1"
"37","B041C2","00:13:08","114.1079","22.57253","30","1"
"38","B041C2","00:13:38","114.10732","22.57477","31","1"
"39","B041C2","00:14:08","114.11076","22.57642","37","1"
"40","B041C2","00:14:38","114.1173","22.57655","48","1"
"41","B041C2","00:15:08","114.12392","22.57675","81","1"
"42","B041C2","00:15:38","114.12987","22.57763","77","1"
"43","B041C2","00:16:08","114.13467","22.57635","72","1"
"44","B041C2","00:16:38","114.13778","22.57522","64","1"
"45","B041C2","00:17:08","114.13797","22.5726","39","1"
"46","B041C2","00:00:23","114.10764","22.57017","0","0"
"47","B041C2","00:00:43","114.10772","22.57015","0","0"
"48","B041C2","00:01:03","114.1078","22.57013","0","0"
"49","B041C2","00:01:43","114.10775","22.57013","0","0"
"50","B041C2","00:02:03","114.10775","22.57007","0","0"
"51","B041C2","00:02:23","114.1078","22.57003","0","0"
"52","B041C2","00:02:43","114.10768","22.57013","0","0"
"53","B041C2","00:03:03","114.10765","22.57013","0","0"
"54","B041C2","00:03:23","114.10777","22.57015","0","0"
"55","B041C2","00:03:43","114.1077","22.57013","0","0"
"56","B041C2","00:04:03","114.10773","22.57017","0","0"
"57","B041C2","00:04:23","114.10783","22.5701","0","0"
"58","B041C2","00:04:43","114.10783","22.57012","0","0"
"59","B041C2","00:05:04","114.10778","22.57008","0","0"
"60","B041C2","00:05:24","114.10775","22.57012","0","0"
"61","B041C2","00:05:44","114.1077","22.57012","0","0"
"62","B041C2","00:06:04","114.10775","22.57018","0","0"
"63","B041C2","00:06:24","114.10783","22.57022","0","0"
"64","B041C2","00:06:44","114.10782","22.57015","0","0"
"65","B041C2","00:07:04","114.10775","22.57015","0","0"
"66","B041C2","00:07:24","114.10765","22.57015","0","0"
"67","B041C2","00:07:44","114.10755","22.57017","0","0"
"68","B041C2","00:08:04","114.10762","22.57017","0","0"
"69","B041C2","00:08:24","114.10768","22.57017","0","0"
"70","B041C2","00:09:04","114.1078","22.5701","0","0"
"71","B041C2","00:09:24","114.10772","22.5701","0","0"
"72","B041C2","00:09:44","114.10765","22.57015","0","0"
"73","B041C2","00:10:04","114.10767","22.57015","0","0"
"74","B041C2","00:10:24","114.10762","22.57015","0","0"
"75","B041C2","00:10:44","114.10764","22.57013","0","0"
"76","B041C2","00:11:04","114.10765","22.5702","0","0"
"77","B041C2","00:11:24","114.1076","22.5702","0","0"
"78","B041C2","00:11:44","114.10765","22.57022","0","0"
"79","B041C2","00:12:04","114.10775","22.57018","0","0"
"80","B041C2","00:12:24","114.10773","22.5701","0","0"
"81","B041C2","00:12:38","114.10768","22.57022","3","1"
"82","B041C2","00:13:08","114.1079","22.57253","30","1"
"83","B041C2","00:13:38","114.10732","22.57477","31","1"
"84","B041C2","00:14:08","114.11076","22.57642","37","1"
"85","B041C2","00:14:38","114.1173","22.57655","48","1"
"86","B041C2","00:15:08","114.12392","22.57675","81","1"
"87","B041C2","00:15:38","114.12987","22.57763","77","1"
"88","B041C2","00:16:08","114.13467","22.57635","72","1"
"89","B041C2","00:16:38","114.13778","22.57522","64","1"
"90","B041C2","00:17:08","114.13797","22.5726","39","1"
"91","B041C2","00:17:38","114.1378","22.5693","43","1"
